ID_BINDUNG_NEW,ID_PERSON_NEW,ID_PERSON,BINDUNGSKATEGORIE,INSTITUTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
10209_BINDUNG_1,10209,Schurter_Johannes_1857__,,,,,,,,
10220_BINDUNG_1,10220,Weber_August_1867__,,,,,,,,
10224_BINDUNG_1,10224,Maurer_Friedrich___,,,,,,,,
10225_BINDUNG_1,10225,Meyer-Rusca_Johannes_1851_03_26,,,,,,,,
10227_BINDUNG_1,10227,Weber-Boller_Heinrich_1862__,,,,,,,,
10232_BINDUNG_1,10232,Nydegger_Fritz_1878__,,,,,,,,
10234_BINDUNG_1,10234,Bucher_Heinrich_1863__,,,,,,,,
10236_BINDUNG_1,10236,Gattiker-Leuthold_Jakob_1841__,,,,,,,,
10237_BINDUNG_1,10237,Ringger_Jakob_1857__,,,,,,,,
10243_BINDUNG_1,10243,Peter_Eduard_1854__,,,,,,,,
10247_BINDUNG_1,10247,Koch_Josef___,,,,,,,,
10251_BINDUNG_1,10251,Zellweger_Emil_1856__,,,,,,,,
10255_BINDUNG_1,10255,Dändliker_Johann_Heinrich_1846__,Polit. Amt,Gemeinderat Hombrechtikon,,,,23,10,1905
10257_BINDUNG_1,10257,Kunz-Bär_Carl_1854__,,,,,,,,
10259_BINDUNG_1,10259,Müller-Künzli_Jakob_1866__,,,,,,,,
10260_BINDUNG_1,10260,Zweifel_Paul_1872__,,,,,,,,
10275_BINDUNG_1,10275,Keller_Johannes_1858__,,,,,,,,
10285_BINDUNG_1,10285,Manz-Schäppi_Karl_1856_01_21,Polit. Amt,Grosser Stadtrat Zürich,,,1903,14,11,1917
10286_BINDUNG_1,10286,Zuppiger_Wilhelm_1858__,,,,,,,,
10295_BINDUNG_1,10295,Gallmann_J._Ulrich_1865__,,,,,,,,
10296_BINDUNG_1,10296,Angst_Heinrich_1855__,,,,,,,,
10308_BINDUNG_1,10308,Fridöri_Heinrich_1861__,,,,,,,,
10312_BINDUNG_1,10312,Asper_Heinrich_1833_11_22,,,,,,,,
10347_BINDUNG_1,10347,Nauer_Jakob_1852__,,,,,,,,
10348_BINDUNG_1,10348,Meier_Rudolf_1860__,,,,,,,,
10349_BINDUNG_1,10349,Tobler_Max_1876_06_03,,,,,,,,
10351_BINDUNG_1,10351,Schnetzler_Heinrich_1864__,,,,,,,,
10353_BINDUNG_1,10353,Girsberger_Konrad_1851__,Polit. Amt,Gemeinderat Ossingen,,,,,,
10354_BINDUNG_1,10354,Krebs_Friedrich_1869__,,,,,,,,
10358_BINDUNG_1,10358,Schindler-Huber_Dietrich_1856__,,,,,,,,
10360_BINDUNG_1,10360,Staub_Friedrich_1856__,,,,,,,,
10362_BINDUNG_1,10362,Bommeli_Rudolf_1859__,,,,,,,,
10363_BINDUNG_1,10363,Steiner_Johann_Jakob_1855__,,,,,,,,
10365_BINDUNG_1,10365,Schleuss_Johann_Friedrich_1850__,,,,,,,,
10370_BINDUNG_1,10370,Benz_Johannes_1858__,,,,,,,,
10371_BINDUNG_1,10371,Huber_Rudolf___,,,,,,,,
10372_BINDUNG_1,10372,Lüde_Alexius_1860__,,,,,,,,
10376_BINDUNG_1,10376,Ganz_Jean_1859__,,,,,,,,
10379_BINDUNG_1,10379,Weber_Julius_1853__,,,,,,,,
10385_BINDUNG_1,10385,Dändliker_Gustav_1862__,,,,,,,,
10389_BINDUNG_1,10389,Rubli_Jakob_1853__,,,,,,,,
10394_BINDUNG_1,10394,Schmid_Jakob_1864__,,,,,,,,
10397_BINDUNG_1,10397,Bockhorn_Fritz_1871__,,,,,,,,
10400_BINDUNG_1,10400,Streuli_Gottlieb_1850__,,,,,,,,
